Round,Player,Hand,Score,Dealer Card,Dealer Score,Result,Reason
10496,4,4 6 6 7,23,K,24,2,Bust
10496,5,6 8 6,20,K,24,1,Dealer Bust
10497,1,10 8,18,2,17,1,Higher Score than Dealer
10497,2,8 2 9,19,2,17,1,Higher Score than Dealer
10497,3,J 9,19,2,17,1,Higher Score than Dealer
10497,4,10 3 3 3,19,2,17,1,Higher Score than Dealer
10497,5,J 2 Q,22,2,17,2,Bust
10498,1,6 6 6,18,J,21,2,Lost to Dealer
10498,2,6 4 A,21,J,21,3,Tie with Dealer
10498,3,10 K,20,J,21,2,Lost to Dealer
10498,4,3 2 5 3 6,19,J,21,2,Lost to Dealer
10498,5,K 6 7,23,J,21,2,Bust
10499,1,Q 10,20,10,20,3,Tie with Dealer
10499,2,K 4 10,24,10,20,2,Bust
10499,3,3 8 4 5,20,10,20,3,Tie with Dealer
10499,4,K 4 9,23,10,20,2,Bust
10499,5,Q 8,18,10,20,2,Lost to Dealer
10500,1,8 5 10,23,6,25,2,Bust
10500,2,4 9 9,22,6,25,2,Bust
10500,3,J 9,19,6,25,1,Dealer Bust
10500,4,7 A,18,6,25,1,Dealer Bust
10500,5,2 K 4 10,26,6,25,2,Bust
10501,1,K A,21,4,19,1,Higher Score than Dealer
10501,2,Q 6 7,23,4,19,2,Bust
10501,3,10 J,20,4,19,1,Higher Score than Dealer
10501,4,10 J,20,4,19,1,Higher Score than Dealer
10501,5,4 Q A A 4,20,4,19,1,Higher Score than Dealer
10502,1,K Q,20,K,21,2,Lost to Dealer
10502,2,7 A,18,K,21,2,Lost to Dealer
10502,3,A K,21,K,21,3,Tie with Dealer
10502,4,2 10 4 5,21,K,21,3,Tie with Dealer
10502,5,7 9 6,22,K,21,2,Bust
10503,1,9 Q,19,9,19,3,Tie with Dealer
10503,2,6 3 8,17,9,19,2,Lost to Dealer
10503,3,J J,20,9,19,1,Higher Score than Dealer
10503,4,2 3 9 5,19,9,19,3,Tie with Dealer
10503,5,Q 2 4 8,24,9,19,2,Bust
10504,1,5 Q 7,22,5,17,2,Bust
10504,2,3 2 Q 5,20,5,17,1,Higher Score than Dealer
10504,3,A K,21,5,17,1,Higher Score than Dealer
10504,4,2 7 10,19,5,17,1,Higher Score than Dealer
10504,5,4 7 8,19,5,17,1,Higher Score than Dealer
10505,1,6 Q K,26,6,21,2,Bust
10505,2,A 3 5,19,6,21,2,Lost to Dealer
10505,3,9 3 9,21,6,21,3,Tie with Dealer
10505,4,J 10,20,6,21,2,Lost to Dealer
10505,5,A J,21,6,21,3,Tie with Dealer
10506,1,5 7 K,22,Q,20,2,Bust
10506,2,10 5 A 6,22,Q,20,2,Bust
10506,3,3 9 A 7,20,Q,20,3,Tie with Dealer
10506,4,9 3 3 3,18,Q,20,2,Lost to Dealer
10506,5,9 10,19,Q,20,2,Lost to Dealer
10507,1,7 8 6,21,8,17,1,Higher Score than Dealer
10507,2,8 5 7,20,8,17,1,Higher Score than Dealer
10507,3,A J,21,8,17,1,Higher Score than Dealer
10507,4,2 A A 9 J,23,8,17,2,Bust
10507,5,J 5 9,24,8,17,2,Bust
10508,1,5 K A 6,22,5,18,2,Bust
10508,2,2 A 7,20,5,18,1,Higher Score than Dealer
10508,3,8 10,18,5,18,3,Tie with Dealer
10508,4,6 9 2,17,5,18,2,Lost to Dealer
10508,5,3 5 10,18,5,18,3,Tie with Dealer
10509,1,A 10,21,A,19,1,Higher Score than Dealer
10509,2,9 8,17,A,19,2,Lost to Dealer
10509,3,4 8 J,22,A,19,2,Bust
10509,4,A 4 3,18,A,19,2,Lost to Dealer
10509,5,J Q,20,A,19,1,Higher Score than Dealer
10510,1,8 6 6,20,7,18,1,Higher Score than Dealer
10510,2,5 3 4 4 8,24,7,18,2,Bust
10510,3,6 6 6,18,7,18,3,Tie with Dealer
10510,4,J 9,19,7,18,1,Higher Score than Dealer
10510,5,J Q,20,7,18,1,Higher Score than Dealer
10511,1,10 5 6,21,Q,20,1,Higher Score than Dealer
10511,2,5 5 A,21,Q,20,1,Higher Score than Dealer
10511,3,Q 5 4,19,Q,20,2,Lost to Dealer
10511,4,K 10,20,Q,20,3,Tie with Dealer
10511,5,9 Q,19,Q,20,2,Lost to Dealer
10512,1,A 8,19,4,18,1,Higher Score than Dealer
10512,2,7 8 J,25,4,18,2,Bust
10512,3,8 Q,18,4,18,3,Tie with Dealer
10512,4,10 3 8,21,4,18,1,Higher Score than Dealer
10512,5,2 9 K,21,4,18,1,Higher Score than Dealer
10513,1,A K,21,Q,20,1,Higher Score than Dealer
10513,2,8 9,17,Q,20,2,Lost to Dealer
10513,3,2 J 6,18,Q,20,2,Lost to Dealer
10513,4,4 8 6,18,Q,20,2,Lost to Dealer
10513,5,A 2 K 10,23,Q,20,2,Bust
10514,1,5 J J,25,3,18,2,Bust
10514,2,J J,20,3,18,1,Higher Score than Dealer
10514,3,8 6 K,24,3,18,2,Bust
10514,4,4 3 K,17,3,18,2,Lost to Dealer
10514,5,Q Q,20,3,18,1,Higher Score than Dealer
10515,1,A 3 5,19,6,20,2,Lost to Dealer
10515,2,J 8,18,6,20,2,Lost to Dealer
10515,3,4 2 A,17,6,20,2,Lost to Dealer
10515,4,9 6 7,22,6,20,2,Bust
10515,5,9 3 Q,22,6,20,2,Bust
10516,1,Q 10,20,2,22,1,Dealer Bust
10516,2,3 K 10,23,2,22,2,Bust
10516,3,10 J,20,2,22,1,Dealer Bust
10516,4,J 10,20,2,22,1,Dealer Bust
10516,5,K 9,19,2,22,1,Dealer Bust
10517,1,9 4 7,20,5,25,1,Dealer Bust
10517,2,4 8 J,22,5,25,2,Bust
10517,3,J A,21,5,25,1,Dealer Bust
10517,4,9 J,19,5,25,1,Dealer Bust
10517,5,A 6,17,5,25,1,Dealer Bust
10518,1,A J,21,3,18,1,Higher Score than Dealer
10518,2,K 2 6,18,3,18,3,Tie with Dealer
10518,3,6 10 8,24,3,18,2,Bust
10518,4,J J,20,3,18,1,Higher Score than Dealer
10518,5,5 6 K,21,3,18,1,Higher Score than Dealer
10519,1,8 7 2,17,5,25,1,Dealer Bust
10519,2,8 J,18,5,25,1,Dealer Bust
10519,3,7 9 9,25,5,25,2,Bust
10519,4,7 6 A A 3,18,5,25,1,Dealer Bust
10519,5,8 3 6,17,5,25,1,Dealer Bust
10520,1,7 4 8,19,6,22,1,Dealer Bust
10520,2,2 5 9 4,20,6,22,1,Dealer Bust
10520,3,4 Q 5,19,6,22,1,Dealer Bust
10520,4,5 Q 6,21,6,22,1,Dealer Bust
10520,5,2 10 4 4,20,6,22,1,Dealer Bust
10521,1,5 3 A,19,8,18,1,Higher Score than Dealer
10521,2,8 3 2 Q,23,8,18,2,Bust
10521,3,3 5 7 4,19,8,18,1,Higher Score than Dealer
10521,4,4 J 4,18,8,18,3,Tie with Dealer
10521,5,5 2 K,17,8,18,2,Lost to Dealer
10522,1,9 Q,19,10,21,2,Lost to Dealer
10522,2,3 4 3 8,18,10,21,2,Lost to Dealer
10522,3,A 7,18,10,21,2,Lost to Dealer
10522,4,K 7,17,10,21,2,Lost to Dealer
10522,5,K Q,20,10,21,2,Lost to Dealer
10523,1,6 6 5,17,8,18,2,Lost to Dealer
10523,2,3 3 8 A 4,19,8,18,1,Higher Score than Dealer
10523,3,2 5 6 5,18,8,18,3,Tie with Dealer
10523,4,3 Q 9,22,8,18,2,Bust
10523,5,10 9,19,8,18,1,Higher Score than Dealer
10524,1,8 4 6,18,9,17,1,Higher Score than Dealer
10524,2,9 Q,19,9,17,1,Higher Score than Dealer
10524,3,7 Q,17,9,17,3,Tie with Dealer
10524,4,8 3 K,21,9,17,1,Higher Score than Dealer
10524,5,8 8 J,26,9,17,2,Bust
10525,1,10 J,20,K,18,1,Higher Score than Dealer
10525,2,8 A,19,K,18,1,Higher Score than Dealer
10525,3,Q 4 Q,24,K,18,2,Bust
10525,4,6 Q 2,18,K,18,3,Tie with Dealer
10525,5,8 6 Q,24,K,18,2,Bust
10526,1,10 6 A,17,5,24,1,Dealer Bust
10526,2,9 3 9,21,5,24,1,Dealer Bust
10526,3,K Q,20,5,24,1,Dealer Bust
10526,4,5 J 5,20,5,24,1,Dealer Bust
10526,5,9 Q,19,5,24,1,Dealer Bust
10527,1,2 J 7,19,J,20,2,Lost to Dealer
10527,2,3 8 7,18,J,20,2,Lost to Dealer
10527,3,K 10,20,J,20,3,Tie with Dealer
10527,4,K 6 2,18,J,20,2,Lost to Dealer
10527,5,2 K 3 7,22,J,20,2,Bust
10528,1,J Q,20,J,17,1,Higher Score than Dealer
10528,2,9 K,19,J,17,1,Higher Score than Dealer
10528,3,10 A,21,J,17,1,Higher Score than Dealer
10528,4,A Q,21,J,17,1,Higher Score than Dealer
10528,5,6 5 5 7,23,J,17,2,Bust
10529,1,J 2 9,21,10,20,1,Higher Score than Dealer
10529,2,6 5 J,21,10,20,1,Higher Score than Dealer
10529,3,J K,20,10,20,3,Tie with Dealer
10529,4,7 K,17,10,20,2,Lost to Dealer
10529,5,A 6 3,20,10,20,3,Tie with Dealer
10530,1,A 9,20,Q,17,1,Higher Score than Dealer
10530,2,2 3 Q 9,24,Q,17,2,Bust
10530,3,4 A 7 5 10,27,Q,17,2,Bust
10530,4,K 6 J,26,Q,17,2,Bust
10530,5,2 5 7 10,24,Q,17,2,Bust
10531,1,10 A,21,Q,17,1,Higher Score than Dealer
10531,2,J Q,20,Q,17,1,Higher Score than Dealer
10531,3,10 3 2 J,25,Q,17,2,Bust
10531,4,K A,21,Q,17,1,Higher Score than Dealer
10531,5,10 J,20,Q,17,1,Higher Score than Dealer
10532,1,7 Q,17,6,26,1,Dealer Bust
10532,2,5 2 2 4 6,19,6,26,1,Dealer Bust
10532,3,2 7 3 A 6,19,6,26,1,Dealer Bust
10532,4,Q 7,17,6,26,1,Dealer Bust
10532,5,Q 5 5,20,6,26,1,Dealer Bust
10533,1,5 3 6 J,24,J,25,2,Bust
10533,2,A K,21,J,25,1,Dealer Bust
10533,3,3 9 9,21,J,25,1,Dealer Bust
10533,4,3 10 9,22,J,25,2,Bust
10533,5,K J,20,J,25,1,Dealer Bust
10534,1,9 3 5,17,J,19,2,Lost to Dealer
10534,2,5 10 5,20,J,19,1,Higher Score than Dealer
10534,3,8 10,18,J,19,2,Lost to Dealer
10534,4,A 3 8 8,20,J,19,1,Higher Score than Dealer
10534,5,6 6 3 10,25,J,19,2,Bust
10535,1,7 8 Q,25,2,18,2,Bust
10535,2,3 9 7,19,2,18,1,Higher Score than Dealer
10535,3,8 2 7,17,2,18,2,Lost to Dealer
10535,4,5 8 3 A,17,2,18,2,Lost to Dealer
10535,5,5 8 2 6,21,2,18,1,Higher Score than Dealer
10536,1,Q 2 A Q,23,10,20,2,Bust
10536,2,6 A 4,21,10,20,1,Higher Score than Dealer
10536,3,9 6 8,23,10,20,2,Bust
10536,4,8 7 10,25,10,20,2,Bust
10536,5,4 J 10,24,10,20,2,Bust
10537,1,3 A Q 8,22,3,18,2,Bust
10537,2,2 6 5 Q,23,3,18,2,Bust
10537,3,10 7,17,3,18,2,Lost to Dealer
10537,4,6 8 8,22,3,18,2,Bust
10537,5,2 5 3 2 10,22,3,18,2,Bust
10538,1,5 3 Q,18,4,20,2,Lost to Dealer
10538,2,K 4 9,23,4,20,2,Bust
10538,3,A 3 J 7,21,4,20,1,Higher Score than Dealer
10538,4,Q J,20,4,20,3,Tie with Dealer
10538,5,9 K,19,4,20,2,Lost to Dealer
10539,1,K 4 3,17,5,18,2,Lost to Dealer
10539,2,2 7 6 J,25,5,18,2,Bust
10539,3,10 A,21,5,18,1,Higher Score than Dealer
10539,4,A 2 5,18,5,18,3,Tie with Dealer
10539,5,A 10,21,5,18,1,Higher Score than Dealer
10540,1,9 3 3 2,17,A,19,2,Lost to Dealer
10540,2,Q J,20,A,19,1,Higher Score than Dealer
10540,3,10 10,20,A,19,1,Higher Score than Dealer
10540,4,7 3 5 K,25,A,19,2,Bust
10540,5,3 Q 5,18,A,19,2,Lost to Dealer
10541,1,A Q,21,9,24,1,Dealer Bust
10541,2,2 10 A 2 3,18,9,24,1,Dealer Bust
10541,3,9 9,18,9,24,1,Dealer Bust
10541,4,J 10,20,9,24,1,Dealer Bust
10541,5,2 J Q,22,9,24,2,Bust
10542,1,K 8,18,4,17,1,Higher Score than Dealer
10542,2,4 J 10,24,4,17,2,Bust
10542,3,6 Q Q,26,4,17,2,Bust
10542,4,5 10 3,18,4,17,1,Higher Score than Dealer
10542,5,4 5 J,19,4,17,1,Higher Score than Dealer
10543,1,A A 3 Q 2 3,20,Q,23,1,Dealer Bust
10543,2,2 2 9 6,19,Q,23,1,Dealer Bust
10543,3,J 10,20,Q,23,1,Dealer Bust
10543,4,Q 7,17,Q,23,1,Dealer Bust
10543,5,10 3 2 Q,25,Q,23,2,Bust
10544,1,J A,21,6,17,1,Higher Score than Dealer
10544,2,A 3 7,21,6,17,1,Higher Score than Dealer
10544,3,Q 4 10,24,6,17,2,Bust
10544,4,10 2 7,19,6,17,1,Higher Score than Dealer
10544,5,7 9 6,22,6,17,2,Bust
10545,1,9 7 10,26,5,22,2,Bust
10545,2,A K,21,5,22,1,Dealer Bust
10545,3,9 4 Q,23,5,22,2,Bust
10545,4,Q 10,20,5,22,1,Dealer Bust
10545,5,6 3 9,18,5,22,1,Dealer Bust
10546,1,A A K K,22,6,22,2,Bust
10546,2,Q 3 K,23,6,22,2,Bust
10546,3,2 10 Q,22,6,22,2,Bust
10546,4,Q 2 3 6,21,6,22,1,Dealer Bust
10546,5,9 10,19,6,22,1,Dealer Bust
10547,1,8 3 7,18,Q,17,1,Higher Score than Dealer
10547,2,5 A 5,21,Q,17,1,Higher Score than Dealer
10547,3,8 3 4 10,25,Q,17,2,Bust
10547,4,Q 7,17,Q,17,3,Tie with Dealer
10547,5,Q A,21,Q,17,1,Higher Score than Dealer
10548,1,4 9 K,23,6,26,2,Bust
10548,2,2 2 9 6,19,6,26,1,Dealer Bust
10548,3,5 J K,25,6,26,2,Bust
10548,4,J 2 7,19,6,26,1,Dealer Bust
10548,5,A 4 2,17,6,26,1,Dealer Bust
10549,1,K 3 10,23,3,23,2,Bust
10549,2,10 8,18,3,23,1,Dealer Bust
10549,3,7 5 8,20,3,23,1,Dealer Bust
10549,4,4 2 2 9,17,3,23,1,Dealer Bust
10549,5,5 3 5 8,21,3,23,1,Dealer Bust
10550,1,J 2 K,22,2,22,2,Bust
10550,2,J 10,20,2,22,1,Dealer Bust
10550,3,A K,21,2,22,1,Dealer Bust
10550,4,K 9,19,2,22,1,Dealer Bust
10550,5,A 8,19,2,22,1,Dealer Bust
10551,1,Q J,20,7,25,1,Dealer Bust
10551,2,A 3 6,20,7,25,1,Dealer Bust
10551,3,9 7 2,18,7,25,1,Dealer Bust
10551,4,3 Q 7,20,7,25,1,Dealer Bust
10551,5,A 7,18,7,25,1,Dealer Bust
10552,1,A 2 7,20,9,24,1,Dealer Bust
10552,2,2 8 J,20,9,24,1,Dealer Bust
10552,3,5 8 A 5,19,9,24,1,Dealer Bust
10552,4,7 5 7,19,9,24,1,Dealer Bust
10552,5,4 2 K Q,26,9,24,2,Bust
10553,1,4 9 4,17,J,18,2,Lost to Dealer
10553,2,J J,20,J,18,1,Higher Score than Dealer
10553,3,5 J J,25,J,18,2,Bust
10553,4,5 5 6 10,26,J,18,2,Bust
10553,5,3 5 5 Q,23,J,18,2,Bust
10554,1,Q 10,20,J,26,1,Dealer Bust
10554,2,6 3 J,19,J,26,1,Dealer Bust
10554,3,K 7,17,J,26,1,Dealer Bust
10554,4,10 3 6,19,J,26,1,Dealer Bust
10554,5,2 7 3 Q,22,J,26,2,Bust
10555,1,2 2 5 9,18,10,21,2,Lost to Dealer
10555,2,J 6 K,26,10,21,2,Bust
10555,3,4 Q 2 A 5,22,10,21,2,Bust
10555,4,5 7 8,20,10,21,2,Lost to Dealer
10555,5,J A,21,10,21,3,Tie with Dealer
10556,1,8 K,18,Q,26,1,Dealer Bust
10556,2,3 6 A,20,Q,26,1,Dealer Bust
10556,3,3 K 3 4,20,Q,26,1,Dealer Bust
10556,4,9 3 2 9,23,Q,26,2,Bust
10556,5,6 6 Q,22,Q,26,2,Bust
10557,1,5 Q 2,17,A,21,2,Lost to Dealer
10557,2,3 9 4 7,23,A,21,2,Bust
10557,3,2 A 8,21,A,21,3,Tie with Dealer
10557,4,8 8 10,26,A,21,2,Bust
10557,5,9 2 8,19,A,21,2,Lost to Dealer
10558,1,10 6 3,19,9,21,2,Lost to Dealer
10558,2,A 9,20,9,21,2,Lost to Dealer
10558,3,4 K 7,21,9,21,3,Tie with Dealer
10558,4,7 K,17,9,21,2,Lost to Dealer
10558,5,2 Q A 10,23,9,21,2,Bust
10559,1,6 Q J,26,J,22,2,Bust
10559,2,Q J,20,J,22,1,Dealer Bust
10559,3,10 9,19,J,22,1,Dealer Bust
10559,4,2 2 8 5,17,J,22,1,Dealer Bust
10559,5,7 A,18,J,22,1,Dealer Bust
10560,1,2 K 6,18,6,21,2,Lost to Dealer
10560,2,Q 4 Q,24,6,21,2,Bust
10560,3,10 2 2 2 4,20,6,21,2,Lost to Dealer
10560,4,J K,20,6,21,2,Lost to Dealer
10560,5,2 5 3 Q,20,6,21,2,Lost to Dealer
10561,1,6 2 9,17,Q,20,2,Lost to Dealer
10561,2,7 Q,17,Q,20,2,Lost to Dealer
10561,3,6 9 4,19,Q,20,2,Lost to Dealer
10561,4,Q J,20,Q,20,3,Tie with Dealer
10561,5,5 5 A,21,Q,20,1,Higher Score than Dealer
10562,1,Q A,21,9,18,1,Higher Score than Dealer
10562,2,2 3 9 J,24,9,18,2,Bust
10562,3,3 9 8,20,9,18,1,Higher Score than Dealer
10562,4,K Q,20,9,18,1,Higher Score than Dealer
10562,5,10 7,17,9,18,2,Lost to Dealer
10563,1,5 K 3,18,9,19,2,Lost to Dealer
10563,2,7 5 4 4,20,9,19,1,Higher Score than Dealer
10563,3,Q 3 A 4,18,9,19,2,Lost to Dealer
10563,4,10 J,20,9,19,1,Higher Score than Dealer
10563,5,2 8 8,18,9,19,2,Lost to Dealer
10564,1,4 J 3,17,8,24,1,Dealer Bust
10564,2,Q 3 2 A A 8,25,8,24,2,Bust
10564,3,6 7 Q,23,8,24,2,Bust
10564,4,A A 7,19,8,24,1,Dealer Bust
10564,5,6 7 Q,23,8,24,2,Bust
10565,1,9 7 J,26,10,26,2,Bust
10565,2,6 7 K,23,10,26,2,Bust
10565,3,8 9,17,10,26,1,Dealer Bust
10565,4,8 Q,18,10,26,1,Dealer Bust
10565,5,J 6 3,19,10,26,1,Dealer Bust
10566,1,3 3 3 9,18,4,21,2,Lost to Dealer
10566,2,K 6 2,18,4,21,2,Lost to Dealer
10566,3,A 6,17,4,21,2,Lost to Dealer
10566,4,10 4 7,21,4,21,3,Tie with Dealer
10566,5,5 K K,25,4,21,2,Bust
10567,1,4 4 6 7,21,K,20,1,Higher Score than Dealer
10567,2,7 J,17,K,20,2,Lost to Dealer
10567,3,9 2 7,18,K,20,2,Lost to Dealer
10567,4,J 3 2 2,17,K,20,2,Lost to Dealer
10567,5,7 Q,17,K,20,2,Lost to Dealer
10568,1,3 5 Q,18,4,17,1,Higher Score than Dealer
10568,2,A K,21,4,17,1,Higher Score than Dealer
10568,3,A A 10 10,22,4,17,2,Bust
10568,4,5 K 4,19,4,17,1,Higher Score than Dealer
10568,5,9 A,20,4,17,1,Higher Score than Dealer
10569,1,8 8 K,26,J,21,2,Bust
10569,2,K 4 3,17,J,21,2,Lost to Dealer
10569,3,10 Q,20,J,21,2,Lost to Dealer
10569,4,A 2 4 10 5,22,J,21,2,Bust
10569,5,6 2 J,18,J,21,2,Lost to Dealer
10570,1,10 9,19,Q,20,2,Lost to Dealer
10570,2,K 6 6,22,Q,20,2,Bust
10570,3,7 A,18,Q,20,2,Lost to Dealer
10570,4,3 8 7,18,Q,20,2,Lost to Dealer
10570,5,J 10,20,Q,20,3,Tie with Dealer
10571,1,10 7,17,6,18,2,Lost to Dealer
10571,2,7 K,17,6,18,2,Lost to Dealer
10571,3,8 2 10,20,6,18,1,Higher Score than Dealer
10571,4,2 10 5,17,6,18,2,Lost to Dealer
10571,5,K K,20,6,18,1,Higher Score than Dealer
10572,1,K 9,19,Q,20,2,Lost to Dealer
10572,2,5 A 6 3 Q,25,Q,20,2,Bust
10572,3,4 10 Q,24,Q,20,2,Bust
10572,4,10 6 6,22,Q,20,2,Bust
10572,5,10 K,20,Q,20,3,Tie with Dealer
10573,1,7 K,17,2,25,1,Dealer Bust
10573,2,3 Q 4,17,2,25,1,Dealer Bust
10573,3,10 4 10,24,2,25,2,Bust
10573,4,Q 4 Q,24,2,25,2,Bust
10573,5,J J,20,2,25,1,Dealer Bust
10574,1,10 8,18,J,21,2,Lost to Dealer
10574,2,8 4 4 J,26,J,21,2,Bust
10574,3,4 8 4 9,25,J,21,2,Bust
10574,4,10 9,19,J,21,2,Lost to Dealer
10574,5,2 9 6,17,J,21,2,Lost to Dealer
10575,1,K 6 A 4,21,K,21,3,Tie with Dealer
10575,2,7 K,17,K,21,2,Lost to Dealer
10575,3,4 5 4 K,23,K,21,2,Bust
10575,4,10 10,20,K,21,2,Lost to Dealer
10575,5,2 9 3 2 6,22,K,21,2,Bust
10576,1,5 4 7 9,25,J,23,2,Bust
10576,2,J A,21,J,23,1,Dealer Bust
10576,3,7 9 J,26,J,23,2,Bust
10576,4,Q 8,18,J,23,1,Dealer Bust
10576,5,3 3 Q 5,21,J,23,1,Dealer Bust
10577,1,10 2 Q,22,6,20,2,Bust
10577,2,5 10 6,21,6,20,1,Higher Score than Dealer
10577,3,8 A,19,6,20,2,Lost to Dealer
10577,4,5 J 8,23,6,20,2,Bust
10577,5,Q A,21,6,20,1,Higher Score than Dealer
10578,1,K Q,20,3,23,1,Dealer Bust
10578,2,4 K 6,20,3,23,1,Dealer Bust
10578,3,4 Q J,24,3,23,2,Bust
10578,4,6 J 3,19,3,23,1,Dealer Bust
10578,5,10 7,17,3,23,1,Dealer Bust
10579,1,K A,21,J,18,1,Higher Score than Dealer
10579,2,J 10,20,J,18,1,Higher Score than Dealer
10579,3,2 4 Q 2,18,J,18,3,Tie with Dealer
10579,4,5 9 K,24,J,18,2,Bust
10579,5,K 8,18,J,18,3,Tie with Dealer
10580,1,2 7 K,19,3,22,1,Dealer Bust
10580,2,5 J 9,24,3,22,2,Bust
10580,3,K 2 K,22,3,22,2,Bust
10580,4,A 9,20,3,22,1,Dealer Bust
10580,5,2 8 K,20,3,22,1,Dealer Bust
10581,1,4 A 5,20,2,24,1,Dealer Bust
10581,2,8 K,18,2,24,1,Dealer Bust
10581,3,Q 3 10,23,2,24,2,Bust
10581,4,J 7,17,2,24,1,Dealer Bust
10581,5,Q 2 A 7,20,2,24,1,Dealer Bust
10582,1,9 3 Q,22,K,21,2,Bust
10582,2,7 8 K,25,K,21,2,Bust
10582,3,6 8 5,19,K,21,2,Lost to Dealer
10582,4,8 10,18,K,21,2,Lost to Dealer
10582,5,9 10,19,K,21,2,Lost to Dealer
10583,1,10 A,21,4,26,1,Dealer Bust
10583,2,A 3 2 J 2,18,4,26,1,Dealer Bust
10583,3,10 2 6,18,4,26,1,Dealer Bust
10583,4,8 K,18,4,26,1,Dealer Bust
10583,5,K 10,20,4,26,1,Dealer Bust
10584,1,Q K,20,4,25,1,Dealer Bust
10584,2,J 10,20,4,25,1,Dealer Bust
10584,3,J Q,20,4,25,1,Dealer Bust
10584,4,8 6 Q,24,4,25,2,Bust
10584,5,K 4 5,19,4,25,1,Dealer Bust
10585,1,2 9 Q,21,10,21,3,Tie with Dealer
10585,2,7 A,18,10,21,2,Lost to Dealer
10585,3,6 7 9,22,10,21,2,Bust
10585,4,4 6 6 5,21,10,21,3,Tie with Dealer
10585,5,8 K,18,10,21,2,Lost to Dealer
10586,1,5 3 9,17,5,22,1,Dealer Bust
10586,2,8 2 Q,20,5,22,1,Dealer Bust
10586,3,A Q,21,5,22,1,Dealer Bust
10586,4,4 J 8,22,5,22,2,Bust
10586,5,K Q,20,5,22,1,Dealer Bust
10587,1,J 7,17,J,17,3,Tie with Dealer
10587,2,Q 2 4 A K,27,J,17,2,Bust
10587,3,Q Q,20,J,17,1,Higher Score than Dealer
10587,4,4 9 10,23,J,17,2,Bust
10587,5,J A,21,J,17,1,Higher Score than Dealer
10588,1,5 K 7,22,2,19,2,Bust
10588,2,4 4 2 4 8,22,2,19,2,Bust
10588,3,Q A,21,2,19,1,Higher Score than Dealer
10588,4,10 8,18,2,19,2,Lost to Dealer
10588,5,9 A,20,2,19,1,Higher Score than Dealer
10589,1,4 2 A K 6,23,9,19,2,Bust
10589,2,3 3 5 3 10,24,9,19,2,Bust
10589,3,4 2 9 K,25,9,19,2,Bust
10589,4,A A K K,22,9,19,2,Bust
10589,5,5 J 8,23,9,19,2,Bust
10590,1,J 6 J,26,J,18,2,Bust
10590,2,8 9,17,J,18,2,Lost to Dealer
10590,3,8 4 3 A 3,19,J,18,1,Higher Score than Dealer
10590,4,A 2 7,20,J,18,1,Higher Score than Dealer
10590,5,A 4 K 9,24,J,18,2,Bust
10591,1,4 2 J 3,19,8,25,1,Dealer Bust
10591,2,6 8 Q,24,8,25,2,Bust
10591,3,Q 6 6,22,8,25,2,Bust
10591,4,9 10,19,8,25,1,Dealer Bust
10591,5,9 7 6,22,8,25,2,Bust
10592,1,J J,20,8,18,1,Higher Score than Dealer
10592,2,3 6 2 5 5,21,8,18,1,Higher Score than Dealer
10592,3,6 9 5,20,8,18,1,Higher Score than Dealer
10592,4,10 10,20,8,18,1,Higher Score than Dealer
10592,5,K 9,19,8,18,1,Higher Score than Dealer
10593,1,2 5 A,18,3,20,2,Lost to Dealer
10593,2,4 2 K 6,22,3,20,2,Bust
10593,3,2 Q Q,22,3,20,2,Bust
10593,4,K 6 2,18,3,20,2,Lost to Dealer
10593,5,9 3 4 A,17,3,20,2,Lost to Dealer
10594,1,K 10,20,K,20,3,Tie with Dealer
10594,2,Q 5 4,19,K,20,2,Lost to Dealer
10594,3,6 10 7,23,K,20,2,Bust
10594,4,K 5 3,18,K,20,2,Lost to Dealer
10594,5,7 2 Q,19,K,20,2,Lost to Dealer
10595,1,A 9,20,A,19,1,Higher Score than Dealer
10595,2,8 4 Q,22,A,19,2,Bust
10595,3,K 5 3,18,A,19,2,Lost to Dealer
10595,4,8 9,17,A,19,2,Lost to Dealer
10595,5,9 9,18,A,19,2,Lost to Dealer
10596,1,8 9,17,K,18,2,Lost to Dealer
10596,2,6 8 4,18,K,18,3,Tie with Dealer
10596,3,3 10 K,23,K,18,2,Bust
10596,4,3 8 8,19,K,18,1,Higher Score than Dealer
10596,5,A 4 4,19,K,18,1,Higher Score than Dealer
10597,1,6 5 8,19,4,18,1,Higher Score than Dealer
10597,2,4 4 4 9,21,4,18,1,Higher Score than Dealer
10597,3,2 K J,22,4,18,2,Bust
10597,4,9 10,19,4,18,1,Higher Score than Dealer
10597,5,6 7 8,21,4,18,1,Higher Score than Dealer
10598,1,A J,21,A,21,3,Tie with Dealer
10598,2,J 7,17,A,21,2,Lost to Dealer
10598,3,6 K J,26,A,21,2,Bust
10598,4,2 8 K,20,A,21,2,Lost to Dealer
10598,5,9 9,18,A,21,2,Lost to Dealer
10599,1,10 K,20,9,26,1,Dealer Bust
10599,2,Q 5 3,18,9,26,1,Dealer Bust
10599,3,J J,20,9,26,1,Dealer Bust
10599,4,A 7,18,9,26,1,Dealer Bust
10599,5,J 3 7,20,9,26,1,Dealer Bust
10600,1,A K,21,Q,26,1,Dealer Bust
10600,2,A A A 3 J Q,26,Q,26,2,Bust
10600,3,6 6 4 K,26,Q,26,2,Bust
10600,4,6 4 A,21,Q,26,1,Dealer Bust
